,SKU,class,interval
0,10216,0,100
1,10947,-1,100
2,11013,0,100
3,11191,-1,100
4,11801,-1,100
5,12631,-1,100
6,12634,0,100
7,13155,-1,100
8,14138,-1,100
9,15993,-1,100
10,16064,-1,100
11,16363,-1,100
12,16826,-1,100
13,17644,0,100
14,17901,0,100
15,18226,-1,100
16,18377,-1,100
17,18457,-1,100
18,19726,0,100
19,20038,0,100
20,21070,-1,100
21,21354,-1,100
22,21940,-1,100
23,22108,0,100
24,22449,0,100
25,22993,-1,100
26,23188,-1,100
27,23198,0,100
28,23502,-1,100
29,23543,-1,100
30,23740,-1,100
31,24152,-1,100
32,24641,0,100
33,25353,-1,100
34,25538,-1,100
35,26331,-1,100
36,26677,-1,100
37,27240,0,100
38,27450,-1,100
39,28089,-1,100
40,28185,0,100
41,28675,-1,100
42,28770,-1,100
43,29297,-1,100
44,29438,-1,100
45,29961,-1,100
46,30449,0,100
47,30620,-1,100
48,32510,-1,100
49,33277,-1,100
50,34466,-1,100
51,34878,-1,100
52,36167,-1,100
53,36724,0,100
54,38004,0,100
55,38670,0,100
56,38728,-1,100
57,39147,0,100
58,39148,-1,100
59,39544,0,100
60,40005,0,100
61,40038,-1,100
62,41871,-1,100
63,42321,-1,100
64,42436,-1,100
65,42439,-1,100
66,42892,0,100
67,42991,0,100
68,44694,-1,100
69,45193,-1,100
70,45681,-1,100
71,46933,0,100
72,47028,-1,100
73,47065,0,100
74,47729,-1,100
75,47952,-1,100
76,48668,-1,100
77,50350,0,100
78,51847,-1,100
79,52080,-1,100
80,52317,-1,100
81,53325,0,100
82,55016,0,100
83,55133,-1,100
84,55541,0,100
85,55748,-1,100
86,56082,1,100
87,57340,-1,100
88,57447,-1,100
89,57688,-1,100
90,58084,-1,100
91,58642,0,100
92,59524,1,100
93,61065,-1,100
94,61918,-1,100
95,65514,0,100
96,66602,-1,100
97,66973,-1,100
98,67102,-1,100
99,67362,1,100
100,67449,-1,100
101,68098,-1,100
102,68587,-1,100
103,68758,-1,100
104,68765,0,100
105,69144,0,100
106,69577,-1,100
107,69650,-1,100
108,69671,-1,100
109,69741,0,100
110,69998,1,100
111,70022,-1,100
112,70470,1,100
113,71298,-1,100
114,71570,-1,100
115,71773,0,100
116,72021,-1,100
117,72410,-1,100
118,73047,-1,100
119,73355,-1,100
120,73677,-1,100
121,73755,-1,100
122,73914,0,100
123,74253,0,100
124,75096,0,100
125,75100,-1,100
126,75343,-1,100
127,75531,-1,100
128,76245,0,100
129,76539,-1,100
130,76811,-1,100
131,76818,-1,100
132,77573,-1,100
133,77615,0,100
134,77860,-1,100
135,79290,0,100
136,80765,-1,100
137,81603,0,100
138,81822,-1,100
139,82663,-1,100
140,82804,-1,100
141,83291,0,100
142,83340,-1,100
143,83931,1,100
144,84435,0,100
145,86167,-1,100
146,86580,-1,100
147,87218,-1,100
148,87297,1,100
149,87397,0,100
150,87756,-1,100
151,87968,0,100
152,88094,-1,100
153,88144,-1,100
154,88782,-1,100
155,89008,-1,100
156,89437,-1,100
157,90376,-1,100
158,91775,1,100
159,92700,-1,100
160,92936,-1,100
161,93101,-1,100
162,93389,-1,100
163,93624,-1,100
164,98008,1,100
165,98503,-1,100
