,SKU,class,interval
0,10230,2,200_DWT
1,12938,0,200_DWT
2,13110,0,200_DWT
3,13338,2,200_DWT
4,15057,0,200_DWT
5,15499,1,200_DWT
6,18969,3,200_DWT
7,19004,0,200_DWT
8,19707,2,200_DWT
9,19734,0,200_DWT
10,19737,0,200_DWT
11,19990,3,200_DWT
12,20533,2,200_DWT
13,21277,2,200_DWT
14,21950,0,200_DWT
15,22049,0,200_DWT
16,23998,3,200_DWT
17,24078,3,200_DWT
18,26396,2,200_DWT
19,26890,2,200_DWT
20,26936,0,200_DWT
21,27447,2,200_DWT
22,28188,3,200_DWT
23,29698,2,200_DWT
24,30738,0,200_DWT
25,32853,0,200_DWT
26,33086,0,200_DWT
27,33491,2,200_DWT
28,33617,3,200_DWT
29,33950,0,200_DWT
30,35210,3,200_DWT
31,35617,2,200_DWT
32,36487,5,200_DWT
33,37310,0,200_DWT
34,37909,0,200_DWT
35,38152,0,200_DWT
36,38579,3,200_DWT
37,38683,0,200_DWT
38,38700,0,200_DWT
39,42391,3,200_DWT
40,42844,3,200_DWT
41,43341,0,200_DWT
42,43717,0,200_DWT
43,44465,0,200_DWT
44,45206,0,200_DWT
45,46366,2,200_DWT
46,47059,5,200_DWT
47,47613,0,200_DWT
48,50191,0,200_DWT
49,50673,0,200_DWT
50,50902,3,200_DWT
51,51114,2,200_DWT
52,53976,2,200_DWT
53,54569,2,200_DWT
54,57086,0,200_DWT
55,57124,0,200_DWT
56,57569,3,200_DWT
57,59277,0,200_DWT
58,59440,1,200_DWT
59,63719,0,200_DWT
60,64746,0,200_DWT
61,66067,0,200_DWT
62,68011,2,200_DWT
63,69210,3,200_DWT
64,69565,1,200_DWT
65,69851,1,200_DWT
66,69978,1,200_DWT
67,70140,0,200_DWT
68,70687,0,200_DWT
69,73779,2,200_DWT
70,73942,0,200_DWT
71,74430,5,200_DWT
72,75280,3,200_DWT
73,76127,2,200_DWT
74,76187,4,200_DWT
75,78073,2,200_DWT
76,80167,0,200_DWT
77,81255,2,200_DWT
78,82175,0,200_DWT
79,82307,0,200_DWT
80,82731,2,200_DWT
81,84205,0,200_DWT
82,84724,0,200_DWT
83,86064,2,200_DWT
84,86116,0,200_DWT
85,86270,0,200_DWT
86,86357,0,200_DWT
87,87102,0,200_DWT
88,87112,2,200_DWT
89,87264,0,200_DWT
90,87831,2,200_DWT
91,88113,2,200_DWT
92,88248,2,200_DWT
93,88664,2,200_DWT
94,89177,4,200_DWT
95,89727,0,200_DWT
96,92530,2,200_DWT
97,93005,0,200_DWT
98,94895,2,200_DWT
99,95888,2,200_DWT
100,97156,2,200_DWT
101,97659,0,200_DWT
102,98103,2,200_DWT
103,98303,0,200_DWT
